"ID","species"
284,"C"
101,"C"
400,"B"
98,"C"
103,"C"
326,"C"
79,"B"
270,"C"
382,"C"
184,"A"
4,"C"
212,"A"
195,"B"
511,"C"
479,"A"
510,"A"
424,"A"
379,"A"
108,"C"
131,"B"
343,"B"
41,"C"
298,"A"
258,"A"
538,"C"
182,"A"
305,"B"
358,"C"
307,"C"
518,"C"
221,"C"
313,"A"
136,"B"
282,"C"
145,"C"
447,"B"
123,"A"
264,"A"
234,"A"
96,"C"
495,"A"
22,"A"
291,"A"
297,"B"
208,"C"
525,"C"
342,"C"
57,"A"
10,"C"
439,"C"
406,"A"
248,"C"
365,"A"
153,"C"
499,"A"
83,"B"
434,"A"
245,"C"
493,"B"
218,"A"
215,"C"
539,"C"
276,"C"
169,"B"
509,"B"
71,"C"
61,"A"
352,"A"
435,"A"
483,"C"
383,"C"
155,"A"
460,"C"
328,"B"
304,"A"
60,"A"
449,"C"
36,"C"
375,"C"
412,"B"
19,"C"
137,"B"
126,"C"
158,"C"
319,"B"
116,"C"
529,"B"
102,"C"
214,"A"
314,"C"
390,"C"
85,"B"
453,"C"
160,"A"
77,"B"
17,"C"
462,"A"
262,"B"
442,"C"
130,"B"
181,"A"
267,"A"
316,"C"
356,"C"
163,"A"
228,"A"
277,"A"
426,"A"
457,"B"
134,"C"
265,"A"
427,"C"
464,"B"
249,"C"
503,"C"
40,"A"
29,"A"
492,"B"
185,"C"
542,"C"
294,"A"
88,"A"
461,"A"
363,"B"
475,"A"
403,"C"
466,"A"
335,"C"
86,"A"
142,"C"
407,"B"
419,"A"
147,"A"
530,"B"
527,"C"
188,"C"
410,"B"
355,"C"
26,"A"
425,"A"
430,"C"
484,"C"
28,"C"
354,"B"
543,"C"
296,"A"
323,"A"
471,"C"
465,"C"
189,"C"
377,"C"
196,"B"
376,"C"
84,"B"
489,"B"
250,"A"
477,"C"
468,"C"
281,"C"
440,"C"
357,"C"
175,"A"
30,"B"
496,"A"
404,"B"
49,"B"
345,"C"
80,"C"
73,"B"
148,"A"
12,"B"
293,"C"
337,"A"
532,"C"
303,"C"
416,"C"
166,"B"
338,"B"
350,"A"
396,"C"
146,"A"
107,"C"
240,"C"
31,"A"
6,"C"
263,"B"
397,"A"
534,"C"
43,"C"
395,"C"
171,"A"
39,"A"
522,"A"
216,"C"
235,"C"
502,"B"
58,"C"
535,"A"
225,"A"
380,"C"
170,"C"
76,"A"
63,"B"
344,"C"
418,"B"
478,"C"
70,"A"
59,"C"
490,"A"
292,"B"
203,"C"
227,"A"
243,"A"
65,"B"
536,"B"
339,"B"
381,"C"
204,"C"
285,"A"
95,"C"
289,"C"
266,"A"
205,"A"
104,"A"
210,"C"
159,"C"
66,"B"
423,"A"
89,"C"
309,"A"
415,"B"
528,"C"
334,"B"
451,"B"
220,"C"
459,"C"
15,"C"
254,"A"
213,"C"
290,"A"
386,"A"
178,"C"
421,"C"
115,"C"
165,"A"
194,"C"
230,"A"
87,"B"
473,"A"
368,"A"
207,"A"
456,"C"
105,"B"
75,"A"
280,"A"
251,"B"
231,"A"
52,"C"
405,"C"
100,"A"
409,"A"
141,"A"
521,"C"
467,"A"
114,"B"
482,"C"
273,"B"
393,"C"
369,"C"
138,"A"
211,"C"
481,"A"
399,"C"
413,"A"
520,"A"
330,"B"
122,"C"
202,"B"
322,"A"
544,"C"
99,"C"
97,"A"
408,"A"
242,"B"
474,"A"
488,"B"
455,"C"
174,"A"
458,"C"
42,"A"
176,"A"
183,"A"
91,"A"
118,"A"
74,"B"
387,"A"
531,"A"
388,"A"
373,"C"
324,"C"
308,"C"
353,"A"
53,"A"
286,"C"
272,"A"
261,"A"
295,"A"
283,"C"
312,"B"
329,"A"
54,"A"
287,"A"
72,"C"
179,"B"
515,"C"
16,"B"
524,"B"
501,"B"
224,"B"
537,"C"
164,"A"
13,"B"
125,"C"
14,"B"
523,"A"
433,"A"
64,"C"
33,"B"
384,"C"
152,"C"
78,"A"
325,"C"
517,"B"
120,"C"
223,"C"
450,"C"
143,"C"
239,"A"
111,"A"
302,"A"
226,"C"
506,"C"
508,"C"
177,"A"
127,"A"
514,"A"
486,"C"
498,"A"
18,"A"
168,"C"
237,"B"
20,"C"
306,"A"
191,"C"
349,"A"
3,"A"
519,"A"
361,"B"
401,"C"
389,"B"
341,"C"
438,"A"
154,"A"
67,"A"
351,"A"
206,"C"
21,"C"
34,"C"
500,"C"
50,"C"
513,"C"
238,"A"
417,"A"
432,"C"
271,"C"
94,"B"
252,"B"
278,"C"
200,"A"
504,"A"
444,"B"
187,"C"
35,"A"
233,"A"
540,"B"
68,"A"
299,"B"
192,"B"
480,"C"
11,"A"
149,"C"
448,"A"
346,"B"
93,"C"
241,"C"
236,"B"
186,"A"
172,"B"
332,"C"
229,"C"
526,"A"
370,"A"
268,"A"
25,"C"
497,"A"
274,"A"
90,"C"
173,"B"
505,"C"
359,"A"
436,"C"
320,"A"
437,"B"
128,"B"
315,"C"
106,"A"
428,"B"
23,"C"
244,"B"
24,"C"
1,"C"
135,"C"
113,"B"
391,"B"
51,"C"
112,"A"
198,"C"
367,"C"
157,"C"
452,"A"
45,"B"
398,"A"
156,"A"
47,"B"
92,"A"
