Team1,Team2,Winner,Margin,Ground,MatchDate,MatchID
England,New Zealand,New Zealand,9 Wickets,Ahmedabad,05 October 2023,ODI # 4658
Pakistan,Netherlands,Pakistan,81 Runs,Hyderabad,06 October 2023,ODI # 4659
Afghanistan,Bangladesh,Bangladesh,6 Wickets,Dharamsala,07 October 2023,ODI # 4660
South Africa,Sri Lanka,South Africa,102 Runs,Delhi,07 October 2023,ODI # 4661
India,Australia,India,6 Wickets,Chennai,08 October 2023,ODI # 4662
New Zealand,Netherlands,New Zealand,99 Runs,Hyderabad,09 October 2023,ODI # 4663
England,Bangladesh,England,137 Runs,Dharamsala,10 October 2023,ODI # 4664
Pakistan,Sri Lanka,Pakistan,6 Wickets,Hyderabad,10 October 2023,ODI # 4665
India,Afghanistan,India,8 Wickets,Delhi,11 October 2023,ODI # 4666
Australia,South Africa,South Africa,134 Runs,Lucknow,12 October 2023,ODI # 4667
Bangladesh,New Zealand,New Zealand,8 Wickets,Chennai,13 October 2023,ODI # 4668
India,Pakistan,India,7 Wickets,Ahmedabad,14 October 2023,ODI # 4669
Afghanistan,England,Afghanistan,69 Runs,Delhi,15 October 2023,ODI # 4670
Australia,Sri Lanka,Australia,5 Wickets,Lucknow,16 October 2023,ODI # 4671
Netherlands,South Africa,Netherlands,38 Runs,Dharamsala,17 October 2023,ODI # 4672
Afghanistan,New Zealand,New Zealand,149 Runs,Chennai,18 October 2023,ODI # 4673
India,Bangladesh,India,7 Wickets,Pune,19 October 2023,ODI # 4674
Australia,Pakistan,Australia,62 Runs,Bengaluru,20 October 2023,ODI # 4675
Netherlands,Sri Lanka,Sri Lanka,5 Wickets,Lucknow,21 October 2023,ODI # 4676
England,South Africa,South Africa,229 Runs,Mumbai,21 October 2023,ODI # 4677
India,New Zealand,India,4 Wickets,Dharamsala,22 October 2023,ODI # 4678
Afghanistan,Pakistan,Afghanistan,8 Wickets,Chennai,23 October 2023,ODI # 4679
Bangladesh,South Africa,South Africa,129 Runs,Mumbai,24 October 2023,ODI # 4680
Australia,Netherlands,Australia,309 Runs,Delhi,25 October 2023,ODI # 4681
England,Sri Lanka,Sri Lanka,8 Wickets,Bengaluru,26 October 2023,ODI # 4682
Pakistan,South Africa,South Africa,1 Wickets,Chennai,27 October 2023,ODI # 4683
Australia,New Zealand,Australia,5 Runs,Dharamsala,28 October 2023,ODI # 4684
Bangladesh,Netherlands,Netherlands,87 Runs,Kolkata,28 October 2023,ODI # 4685
India,England,India,100 Runs,Lucknow,29 October 2023,ODI # 4686
Afghanistan,Sri Lanka,Afghanistan,7 Wickets,Pune,30 October 2023,ODI # 4687
Bangladesh,Pakistan,Pakistan,7 Wickets,Kolkata,31 October 2023,ODI # 4688
New Zealand,South Africa,South Africa,190 Runs,Pune,01 November 2023,ODI # 4689
India,Sri Lanka,India,302 Runs,Mumbai,02 November 2023,ODI # 4690
Afghanistan,Netherlands,Afghanistan,7 Wickets,Lucknow,03 November 2023,ODI # 4691
New Zealand,Pakistan,Pakistan,21 Runs (DLS),Bengaluru,04 November 2023,ODI # 4692
Australia,England,Australia,33 Runs,Ahmedabad,04 November 2023,ODI # 4693
India,South Africa,India,243 Runs,Kolkata,05 November 2023,ODI # 4694
Bangladesh,Sri Lanka,Bangladesh,3 Wickets,Delhi,06 November 2023,ODI # 4695
Afghanistan,Australia,Australia,3 Wickets,Mumbai,07 November 2023,ODI # 4696
England,Netherlands,England,160 Runs,Pune,08 November 2023,ODI # 4697
New Zealand,Sri Lanka,New Zealand,5 Wickets,Bengaluru,09 November 2023,ODI # 4698
Afghanistan,South Africa,South Africa,5 Wickets,Ahmedabad,10 November 2023,ODI # 4699
Australia,Bangladesh,Australia,8 Wickets,Pune,11 November 2023,ODI # 4700
England,Pakistan,England,93 Runs,Kolkata,11 November 2023,ODI # 4701
India,Netherlands,India,160 Runs,Bengaluru,12 November 2023,ODI # 4702
India,New Zealand,India,70 Runs,Mumbai,15 November 2023,ODI # 4703
Australia,South Africa,Australia,3 Wickets,Kolkata,16 November 2023,ODI # 4704
India,Australia,Australia,6 Wickets,Ahmedabad,19 November 2023,ODI # 4705
